mean_return,median_return,std_return,avg_time_drawdown,sharpe,max_drawdown,cluster_size,dataset,model,n_clusters,preprocessing
0.0003962285903139338,0.0004294551919953709,0.003369469831889699,26.167852311797525,0.7577964156906805,0.08060241608021386,1323,train,KMeansTrainer,2,just_filter
6.768046882893114e-05,0.00013558700000423614,0.013243703992760137,258.60063284518526,-0.01592816547137452,0.5983543171717453,615,train,KMeansTrainer,2,just_filter
0.0003983706933030476,0.0003788568063676153,0.005539151869709086,30.710044187961127,0.5176361572445679,0.11101625651623472,1528,test,KMeansTrainer,2,just_filter
-0.00027034712149332077,-0.0003760393889280157,0.012362444552053965,169.0599870074406,-0.019383566823896324,0.3917411366201363,174,test,KMeansTrainer,2,just_filter
1.440924056953061e-05,6.221056946606008e-05,0.013464500374853356,249.9385572666534,-0.022501476786789834,0.6359398698077372,569,train,KMeansTrainer,2,scalling
0.0004073302084960293,0.0004500784587189867,0.0036094856317355705,37.578099871125836,0.7345304430135561,0.08237773236971789,1369,train,KMeansTrainer,2,scalling
-6.147989353989945e-05,-0.0002051958068991154,0.011141743906868158,107.82158976944628,-0.001921634371712456,0.32022953434175894,466,test,KMeansTrainer,2,scalling
0.00047760489532104535,0.0004927860780511564,0.004387408372469507,21.113692901243773,0.6379213505336244,0.07165763327301837,1236,test,KMeansTrainer,2,scalling
0.0003962285903139338,0.0004294551919953709,0.003369469831889699,26.167852311797525,0.7577964156906805,0.08060241608021386,1323,train,KMeansTrainer,2,PCA
6.768046882893114e-05,0.00013558700000423614,0.013243703992760137,258.60063284518526,-0.01592816547137452,0.5983543171717453,615,train,KMeansTrainer,2,PCA
0.0003983706933030476,0.0003788568063676153,0.005539151869709086,30.710044187961127,0.5176361572445679,0.11101625651623472,1528,test,KMeansTrainer,2,PCA
-0.00027034712149332077,-0.0003760393889280157,0.012362444552053965,169.0599870074406,-0.019383566823896324,0.3917411366201363,174,test,KMeansTrainer,2,PCA
1.440924056953061e-05,6.221056946606008e-05,0.013464500374853356,249.9385572666534,-0.022501476786789834,0.6359398698077372,569,train,KMeansTrainer,2,PCA_scalling
0.0004073302084960293,0.0004500784587189867,0.0036094856317355705,37.578099871125836,0.7345304430135561,0.08237773236971789,1369,train,KMeansTrainer,2,PCA_scalling
-6.147989353989945e-05,-0.0002051958068991154,0.011141743906868158,107.82158976944628,-0.001921634371712456,0.32022953434175894,466,test,KMeansTrainer,2,PCA_scalling
0.00047760489532104535,0.0004927860780511564,0.004387408372469507,21.113692901243773,0.6379213505336244,0.07165763327301837,1236,test,KMeansTrainer,2,PCA_scalling
